case:concept:name,CustomerID,BankerID,Loan Amount,Interest Rate,lifecycle:transition,Activity,EmpCntDa,CusToMo,EmpToMo,AVGIR,CusMoID,EmpMoID,EmpDayID
1,6,73,0,0,7.1.2020,Request Loan,0,0,0,0,customer6-1,Banker73-1,Banker73-17
1,6,73,0,0,7.1.2020,Check Employee Eligibility,0,0,0,0,customer6-1,Banker73-1,Banker73-17
1,6,73,38722,0,7.1.2020,Record Loan Application Information,0,0,0,0,customer6-1,Banker73-1,Banker73-17
1,6,73,38722,0,7.1.2020,Check Amount Legality,0,0,0,0,customer6-1,Banker73-1,Banker73-17
1,6,73,38722,0,7.1.2020,Client Assessment,0,0,0,0,customer6-1,Banker73-1,Banker73-17
1,6,73,38722,5,7.1.2020,Setup Loan Contract,0,0,0,0,customer6-1,Banker73-1,Banker73-17
1,6,73,38722,5,7.1.2020,Check Interest Rate Average,0,0,0,0,customer6-1,Banker73-1,Banker73-17
1,6,73,38722,5,7.1.2020,Sign Loan Contract,0,0,0,0,customer6-1,Banker73-1,Banker73-17
1,6,73,38722,5,7.1.2020,disbursement,1,38722,38722,5,customer6-1,Banker73-1,Banker73-17
2,1,73,0,0,7.1.2020,Request Loan,1,0,38722,5,Customer1-1,Banker73-1,Banker73-17
2,1,73,0,0,7.1.2020,Check Employee Eligibility,1,0,38722,5,Customer1-1,Banker73-1,Banker73-17
2,1,73,44815,0,7.1.2020,Record Loan Application Information,1,0,38722,5,Customer1-1,Banker73-1,Banker73-17
2,1,73,44815,0,7.1.2020,Check Amount Legality,1,0,38722,5,Customer1-1,Banker73-1,Banker73-17
2,1,73,44815,0,7.1.2020,Client Assessment,1,0,38722,5,Customer1-1,Banker73-1,Banker73-17
2,1,73,44815,7,7.1.2020,Setup Loan Contract,1,0,38722,5,Customer1-1,Banker73-1,Banker73-17
2,1,73,44815,7,7.1.2020,Check Interest Rate Average,1,0,38722,5,Customer1-1,Banker73-1,Banker73-17
2,1,73,44815,7,7.1.2020,Sign Loan Contract,1,0,38722,5,Customer1-1,Banker73-1,Banker73-17
2,1,73,44815,7,7.1.2020,disbursement,2,44815,83537,6,Customer1-1,Banker73-1,Banker73-17
3,6,73,0,0,7.1.2020,Request Loan,2,38722,83537,6,customer6-1,Banker73-1,Banker73-17
3,6,73,0,0,7.1.2020,Check Employee Eligibility,2,38722,83537,6,customer6-1,Banker73-1,Banker73-17
3,6,73,50724,0,7.1.2020,Record Loan Application Information,2,38722,83537,6,customer6-1,Banker73-1,Banker73-17
3,6,73,50724,0,7.1.2020,Check Amount Legality,2,38722,83537,6,customer6-1,Banker73-1,Banker73-17
3,6,73,50724,0,7.1.2020,Client Assessment,2,38722,83537,6,customer6-1,Banker73-1,Banker73-17
3,6,73,50724,0,7.1.2020,Cancel Request,2,38722,83537,6,customer6-1,Banker73-1,Banker73-17
4,3,73,0,0,7.1.2020,Request Loan,2,0,83537,6,Customer3-1,Banker73-1,Banker73-17
4,3,73,0,0,7.1.2020,Check Employee Eligibility,2,0,83537,6,Customer3-1,Banker73-1,Banker73-17
4,3,73,39359,0,7.1.2020,Record Loan Application Information,2,0,83537,6,Customer3-1,Banker73-1,Banker73-17
4,3,73,39359,0,7.1.2020,Check Amount Legality,2,0,83537,6,Customer3-1,Banker73-1,Banker73-17
4,3,73,39359,0,7.1.2020,Client Assessment,2,0,83537,6,Customer3-1,Banker73-1,Banker73-17
4,3,73,39359,0,7.1.2020,Cancel Request,2,0,83537,6,Customer3-1,Banker73-1,Banker73-17
5,5,73,0,0,7.1.2020,Request Loan,2,0,83537,6,Customer5-1,Banker73-1,Banker73-17
5,5,73,0,0,7.1.2020,Check Employee Eligibility,2,0,83537,6,Customer5-1,Banker73-1,Banker73-17
5,5,73,50048,0,7.1.2020,Record Loan Application Information,2,0,83537,6,Customer5-1,Banker73-1,Banker73-17
5,5,73,50048,0,7.1.2020,Check Amount Legality,2,0,83537,6,Customer5-1,Banker73-1,Banker73-17
5,5,73,50048,0,7.1.2020,Client Assessment,2,0,83537,6,Customer5-1,Banker73-1,Banker73-17
5,5,73,50048,0,7.1.2020,Cancel Request,2,0,83537,6,Customer5-1,Banker73-1,Banker73-17
6,4,72,0,0,7.1.2020,Request Loan,0,0,0,0,Customer4-1,Banker72-1,Banker72-17
6,4,72,0,0,7.1.2020,Check Employee Eligibility,0,0,0,0,Customer4-1,Banker72-1,Banker72-17
6,4,72,35614,0,7.1.2020,Record Loan Application Information,0,0,0,0,Customer4-1,Banker72-1,Banker72-17
6,4,72,35614,0,7.1.2020,Check Amount Legality,0,0,0,0,Customer4-1,Banker72-1,Banker72-17
6,4,72,35614,0,7.1.2020,Client Assessment,0,0,0,0,Customer4-1,Banker72-1,Banker72-17
6,4,72,35614,0,7.1.2020,Cancel Request,0,0,0,0,Customer4-1,Banker72-1,Banker72-17
7,6,73,0,0,7.1.2020,Request Loan,2,38722,83537,6,customer6-1,Banker73-1,Banker73-17
7,6,73,0,0,7.1.2020,Check Employee Eligibility,2,38722,83537,6,customer6-1,Banker73-1,Banker73-17
7,6,73,51994,0,7.1.2020,Record Loan Application Information,2,38722,83537,6,customer6-1,Banker73-1,Banker73-17
7,6,73,51994,0,7.1.2020,Check Amount Legality,2,38722,83537,6,customer6-1,Banker73-1,Banker73-17
7,6,73,51994,0,7.1.2020,Client Assessment,2,38722,83537,6,customer6-1,Banker73-1,Banker73-17
